time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.0,0.8736342191696167,-1.4880884376219292,1.956193749104635,-1.9409781895079554,-1.5486295858966272,-2.7084017435656946,-0.293753904627738,-0.6260388607227719,0.40574384376241013,0.8431397371913995,-0.5353482983013852,0.017414108707639094,-0.04705668807456973
0.1,0.8741501565363307,-1.4880677503218476,1.953836171882097,-1.9411569280606236,-1.5486227356213877,-2.7059017435656947,-0.2940300283260467,-0.6269077886675358,0.4072072833212016,0.8426668739877669,-0.536205416898775,0.017183738248075262,-0.04583677030417258
0.2,0.8756979686364722,-1.4880056884216033,1.9467634402144822,-1.9416931437186278,-1.5486021847956697,-2.6984017435656944,-0.29484012434965523,-0.6295012557032409,0.4116108159987045,0.8412351039978319,-0.5387691435576397,0.016514789029861338,-0.042173113416295524
0.30000000000000004,0.8782776554700417,-1.487902251921196,1.9349755541017912,-1.9425868364819687,-1.5485679334194726,-2.6859017435656947,-0.2961293909515796,-0.6337788254176636,0.41899358749654625,0.8388050561667759,-0.5430162996285475,0.015473852094217371,-0.036054625058898324
0.4,0.8818892170370389,-1.487757440820626,1.918472513544024,-1.943838006350646,-1.548519981492797,-2.6684017435656946,-0.2978065909868029,-0.6396714940694789,0.4294191757910092,0.8353116881617635,-0.5489072886326408,0.014172237049587385,-0.02746488309310529
0.5,0.8865326533374638,-1.4875712551198927,1.8972543185411797,-1.9454466533246588,-1.548458329015642,-2.6459017435656946,-0.29974427340248094,-0.6470793132257134,0.44297305773339757,0.8306651823145811,-0.5563846675588705,0.012766374726278583,-0.01638524555926292
0.6000000000000001,0.8922079643713168,-1.4873436948189966,1.8713209690932593,-1.9474127774040089,-1.5483829759880088,-2.6184017435656948,-0.30177922811463676,-0.6558681396444258,0.4597589926573344,0.8247522627291602,-0.5653711867796756,0.011458212008224021,-0.002799224900910014
0.7000000000000001,0.8986500382879461,-1.4870853899842276,1.8418838945342162,-1.9496445346720923,-1.5482974423897689,-2.5871863561357227,-0.3036465194667245,-0.6654786318018502,0.47909248589646236,0.8177337306753311,-0.5753611453815977,0.010521473208945078,0.012664781975800869
0.8,0.9051334984518694,-1.4868254257043936,1.8122577054038294,-1.9518906295679943,-1.5482113592923001,-2.555770429599825,-0.30505321746557884,-0.6747438938128536,0.4988339370404488,0.810346950406269,-0.585180431535606,0.010168364365791216,0.028253971069325493
0.9,0.9116169586157927,-1.4865654614245596,1.7826315162734423,-1.9541367244638965,-1.5481252761948314,-2.5243545030639263,-0.3059890687387845,-0.6835862536342385,0.5188425123582028,0.8026426594679628,-0.5947552162330088,0.010407320007673714,0.04384839399659632
1.0,0.9181004187797164,-1.4863054971447256,1.753005327143054,-1.9563828193597987,-1.5480391930973627,-2.4929385765280268,-0.30645792737185173,-0.6919914508157273,0.539100392654824,0.794627803916721,-0.6040767759367119,0.011238149880829818,0.05942731698177844
