time_from_start,joint_a1_pos,joint_a2_pos,joint_a3_pos,joint_a4_pos,joint_a5_pos,joint_a6_pos,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.0,0.7544915797358335,-1.2177621000557035,1.776213265365706,-0.07647973640089244,1.0755834528864525,0.7931132079173533,0.24852757269412243,-0.22670134240294348,0.3934732558245473,-6.721395016809192e-05,0.9989544223576043,0.04571441913979631,0.0004994168408513624
0.1,0.7524329915161536,-1.2188189390554804,1.77631488665755,-0.07652715136636676,1.075158044088364,0.7881132079173532,0.24896637934077806,-0.22616095668046343,0.3937827169730501,0.001404735665726468,0.9989741571286114,0.04525413056766369,0.0008507487612965493
0.2,0.7462572268571145,-1.2219894560548115,1.7766197505330825,-0.07666939626278974,1.0738818176940979,0.7731132079173534,0.2502744205921769,-0.22453351231595736,0.3947109802528448,0.005820884236908897,0.9990174872035017,0.043891626292878655,0.0019242426219573418
0.30000000000000004,0.7359642857587156,-1.2272736510536966,1.777127856992303,-0.07690647109016135,1.0717547737036544,0.7481132079173535,0.25242638795620054,-0.2218003829230209,0.39625766740542634,0.013181812849993623,0.999036784278764,0.04168303219122939,0.0037773397092657193
0.4,0.7215541682209573,-1.2346715240521355,1.777839206035212,-0.07723837584848162,1.0687769121170332,0.7131132079173533,0.2553795354266041,-0.21793131563331858,0.39842208873886853,0.02348742958397315,0.9989526585725432,0.03872528934384772,0.00650219560004516
0.5,0.7030268742438394,-1.2441830750501286,1.7787537976618089,-0.07766511053775053,1.0649482329342348,0.6681132079173531,0.25907286558160475,-0.21288564207862037,0.40120315404265616,0.03673537885558945,0.9986539776532556,0.03516098668858888,0.010220072052198582
0.6000000000000001,0.6803824038273617,-1.2558083040476755,1.7798716318720942,-0.07818667515796811,1.0602687361552592,0.6131132079173526,0.26342605923861817,-0.2066140205510078,0.40459924749688514,0.05291881568657378,0.9979979582758387,0.031184578294857906,0.015073032215178455
0.7000000000000001,0.65362076113957,-1.2695472089049837,1.781192708460314,-0.07880306961313274,1.0547384226414356,0.548113218040905,0.26833822009026137,-0.19906075289999314,0.4086080656168418,0.07202354612831112,0.9968103968378318,0.02704939340194268,0.02121254052899198
0.8,0.6227419457428369,-1.2853997898467218,1.7827170274480717,-0.0795142939133242,1.0483572923023283,0.47311323722508003,0.2736865343444359,-0.19016671930124202,0.41322642041962676,0.09402455579627136,0.9948861215807216,0.02307461810815971,0.02878454433451827
0.9,0.5877459539067444,-1.3033660487880137,1.7844445890195173,-0.0803203481444643,1.0411253443670436,0.38811325640925515,0.27932496471643087,-0.17987298542218175,0.4184500039760233,0.11888192848777979,0.9919897686523684,0.019651178049920507,0.03791064717592249
1.0,0.5486327885110414,-1.3234459842504527,1.786375393032494,-0.08122123224022448,1.033042579430684,0.2931132825879057,0.28508313302076826,-0.1681251236267553,0.4242731142570997,0.14653618711085228,0.9878570018096576,0.017245164436924726,0.04866512248202703
1.1,0.5054024472063388,-1.3456395974401694,1.788509439602978,-0.08221694625471766,1.024108997007746,0.18811331005472098,0.29076558054114243,-0.15487826588690404,0.43068834658606514,0.17690312667552555,0.9821963072497506,0.01639715676750292,0.06104777675983325
1.2,0.45805493189571966,-1.369946887380158,1.7908467286370242,-0.0833074901441106,1.0143245974915032,0.07311334343200182,0.29615161521212535,-0.14010290244408416,0.4376862442429441,0.20986817915066358,0.9746915144829849,0.017715535073351652,0.07495304391360788
1.3,0.40659024100561936,-1.3963678548782557,1.793387260212311,-0.0844928639446468,1.003689380556778,-0.051886621102203045,0.30099599758893103,-0.12379137889001485,0.44525491421518115,0.24528043542707953,0.9650051965987718,0.021861663112659368,0.090136264732995
1.4,0.35101129752371574,-1.4249009993296577,1.796130890036852,-0.08577300033185678,0.9922039502411635,-0.18687948405210766,0.30503055438677185,-0.10596595574747064,0.45337917845685927,0.28294447116653304,0.9527838060021221,0.029524254270124367,0.10617798107985732
1.5,0.29352466972183155,-1.4544135116650034,1.798968691849348,-0.08709707595145091,0.9803242955314049,-0.32650582421164415,0.3078851561101313,-0.08739844063398997,0.461722053951406,0.32116728219500296,0.9382574321438224,0.04087838362541782,0.12187504103190733
1.6,0.2360380419199473,-1.483926024000349,1.8018064936618434,-0.08842115157104502,0.9684446408216462,-0.4661321643711807,0.3093962199175615,-0.06880346823531969,0.46999712878489674,0.35853949619188225,0.9218598758486627,0.05559485145821191,0.1361360035482857
1.7000000000000002,0.17993690508086974,-1.512727252325937,1.8045759013291998,-0.08971331551178155,0.9568512988574943,-0.602393356149993,0.3095809778677219,-0.05073161856361339,0.4780010720529433,0.3940929171981577,0.9041037811714241,0.07301060091844977,0.14817752069496493
1.8,0.12788653058149707,-1.5394488983540546,1.8071453449153578,-0.09091217922149292,0.9460950499660624,-0.7288158577503125,0.30862450935453417,-0.03411697320331918,0.4853583559175596,0.4261870085201764,0.8861282615510696,0.09165099702478993,0.15729409586333595
1.9,0.07995333252148352,-1.5640568663826182,1.8095115459178275,-0.09201621300025563,0.9361896186708077,-0.845238359350633,0.30679802756815033,-0.019014397614584545,0.4920708311124946,0.454919969704079,0.8683380750716602,0.11071692043596562,0.16364159640647463
2.0,0.036137310900829986,-1.5865511564116277,1.811674504336609,-0.0930254168480697,0.9271350049717307,-0.9516608609509523,0.3043501789863742,-0.005426737856200084,0.4981506876241397,0.48044813362334343,0.8510734381270383,0.12954700300676725,0.16751467942969286
