timestamp,elbow_joint_pos,shoulder_lift_joint_pos,shoulder_pan_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,elbow_joint_vel,shoulder_lift_joint_vel,shoulder_pan_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel
1753180916.5705044,1.8541320005999964,-1.3146692973426362,0.9991949200630188,-2.110438962975973,-1.57086688676943,-3.789058033620016,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5709743,1.854168717061178,-1.3147137028029938,0.9992126226425171,-2.110434671441549,-1.5708368460284632,-3.7890506426440638,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5716248,1.8541095892535608,-1.314643220310547,0.9991912841796875,-2.110458036462301,-1.570824925099508,-3.7890506426440638,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5737607,1.8541320005999964,-1.314692960386612,0.9991866946220398,-2.110495706597799,-1.570883576069967,-3.7890341917621058,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5757387,1.8541691938983362,-1.314698950653412,0.9992199540138245,-2.110450883904928,-1.570862118397848,-3.7889843622790735,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5778117,1.8541491667376917,-1.314685658817627,0.9992200136184692,-2.110434671441549,-1.5708702246295374,-3.789038960133688,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5797706,1.8541625181781214,-1.3146514159492035,0.9991912841796875,-2.110467096368307,-1.5709083716021937,-3.7889843622790735,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5820646,1.8541234175311487,-1.314664677982666,0.9992395043373108,-2.1104217968382777,-1.5708711783038538,-3.7890005747424524,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.584418,1.8540623823748987,-1.314681039457657,0.9991912841796875,-2.1104799709715785,-1.5708368460284632,-3.7890716234790247,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5890493,1.8541467825519007,-1.314697341328003,0.9992200136184692,-2.1104842625060023,-1.5708745161639612,-3.7890341917621058,-0.0,-0.0,0.0,0.0,0.0,0.0
1753180916.5913036,1.8541854063617151,-1.3146692675403138,0.9992082118988037,-2.110450883904928,-1.570878807698385,-3.7890506426440638,-0.0,-0.0,0.0,0.0,0.0,0.0
