timestamp,elbow_joint_pos,shoulder_lift_joint_pos,shoulder_pan_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,elbow_joint_vel,shoulder_lift_joint_vel,shoulder_pan_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
1753104158.879411,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8798811,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8812,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.883257,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.88527,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8873396,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8890483,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8910122,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8930664,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8954782,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.8973489,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.899617,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.9238086,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
1753104158.924363,1.6192500000000003,-1.2231120000000004,2.521988,-1.7611480000000004,-1.7344119999999998,-2.231006,0.0,0.0,0.0,0.0,0.0,0.0,0.7657122434805776,-0.3555962171551066,0.39914436541263104,0.991009754000284,0.028517733143473813,-0.13065140990106727,0.00407620700130423
