timestamp,joint_a1_pos,joint_a2_pos,joint_a3_pos,joint_a4_pos,joint_a5_pos,joint_a6_pos,joint_a1_vel,joint_a2_vel,joint_a3_vel,joint_a4_vel,joint_a5_vel,joint_a6_vel
1753172627.290946,0.7228738654841402,-1.1686045405486396,1.7081842800582314,-0.07805085996360628,1.0924983873920364,0.7609823025236019,0.0,-0.15258300304412842,0.0,0.0,0.0,0.0
1753172627.3002293,0.7228738654841402,-1.1686045405486396,1.7081842800582314,-0.07805085996360628,1.0924983873920364,0.7609823025236019,0.0,-0.15258300304412842,0.0,0.0,0.0,0.0
1753172627.3061023,0.7228750639066308,-1.1686034752842034,1.7081842800582314,-0.07805085996360628,1.0924995858145268,0.7609804383108388,0.0762920007109642,0.0,0.0,0.0,0.0,0.0
1753172627.3134027,0.7228750639066308,-1.1686034752842034,1.7081842800582314,-0.07805085996360628,1.0924995858145268,0.7609804383108388,0.0762920007109642,0.0,0.0,0.0,0.0,0.0
1753172627.3262422,0.7228750639066308,-1.1686034752842034,1.7081842800582314,-0.07805085996360628,1.0924995858145268,0.7609804383108388,0.0762920007109642,0.0,0.0,0.0,0.0,0.0
1753172627.3286023,0.7228750639066308,-1.1686034752842034,1.7081842800582314,-0.07805085996360628,1.0924995858145268,0.7609804383108388,0.0762920007109642,0.0,0.0,0.0,0.0,0.0
1753172627.3385944,0.7228763289081486,-1.1686066710775116,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,-0.0762920007109642,-0.15258300304412842,0.0,0.0,0.0,0.0762920007109642
1753172627.3396423,0.7228763289081486,-1.1686066710775116,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,-0.0762920007109642,-0.15258300304412842,0.0,0.0,0.0,0.0762920007109642
1753172627.34366,0.7228763289081486,-1.1686066710775116,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,-0.0762920007109642,-0.15258300304412842,0.0,0.0,0.0,0.0762920007109642
1753172627.3477037,0.7228750639066308,-1.1686056058130756,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609841667363649,0.0,0.15258300304412842,0.0,0.0,0.0,0.0
1753172627.3522074,0.7228750639066308,-1.1686056058130756,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609841667363649,0.0,0.15258300304412842,0.0,0.0,0.0,0.0
1753172627.356445,0.7228750639066308,-1.1686056058130756,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609841667363649,0.0,0.15258300304412842,0.0,0.0,0.0,0.0
1753172627.3646274,0.7228750639066308,-1.1686056058130756,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609841667363649,0.0,0.15258300304412842,0.0,0.0,0.0,0.0
1753172627.3649771,0.7228750639066308,-1.1686056058130756,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609841667363649,0.0,0.15258300304412842,0.0,0.0,0.0,0.0
1753172627.367969,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,0.0,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.3722625,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,0.0,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.3766134,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,0.0,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.3798964,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,0.0,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.3840322,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,0.0,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.3886316,0.7228750639066308,-1.1686077363419476,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609785740980757,0.0762920007109642,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.409544,0.7228750639066308,-1.1686077363419476,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609785740980757,0.0762920007109642,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.4098282,0.7228750639066308,-1.1686077363419476,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609785740980757,0.0762920007109642,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.4100509,0.7228750639066308,-1.1686077363419476,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609785740980757,0.0762920007109642,0.15258300304412842,0.0,-0.0762920007109642,0.0,0.0
1753172627.4103065,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,-0.0762920007109642,-0.15258300304412842,0.0,0.0,0.0,-0.15258300304412842
1753172627.412445,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,-0.0762920007109642,-0.15258300304412842,0.0,0.0,0.0,-0.15258300304412842
1753172627.41526,0.7228750639066308,-1.1686045405486396,1.7081842800582314,-0.07804966154111574,1.0924995858145268,0.7609823025236019,-0.0762920007109642,-0.15258300304412842,0.0,0.0,0.0,-0.15258300304412842
