pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.27454188441390937,-0.22282538437367128,0.3996701917472194,-0.013261189686149874,0.9995072876751094,0.027253223435010625,0.008159935346276782
0.2979438545323231,-0.20490139332845636,0.42021695501269307,-0.05222632704526167,0.9976403207838436,-0.02639359447456229,0.03591071261313761
0.3319042010634229,-0.16785122980127562,0.45746544267431544,-0.11433553895408687,0.9829357210325087,-0.10724945611859217,0.09624088015311795
0.3640517568482329,-0.10417739598715198,0.5143540771064912,-0.19193933736838617,0.9397139876903756,-0.19625874574512803,0.20391031564927406
0.37371593048974894,-0.03933725039140842,0.569445097819582,-0.25060261550107077,0.8799461074121457,-0.24881765984451815,0.31777814478615835
0.3683817521991035,0.005364116040489697,0.6079981832640506,-0.283015900485467,0.829437216707681,-0.2680885553100784,0.4000805295492029
0.36153297764793607,0.030542294860067643,0.6281937753802382,-0.29698706801568364,0.8005249133459638,-0.26929525304006496,0.4454644893074782
0.3608449365215014,0.050693773369847,0.6246259191529653,-0.2921444934644613,0.8075265922679614,-0.23671956544400802,0.4544405847352181
0.3639208673275471,0.07343459945447471,0.6022002384067535,-0.2708282583934705,0.8423073740862081,-0.17549235811452518,0.43170913154456136
0.36271806836512566,0.10985541557847736,0.5669558687792586,-0.23203843992029838,0.891233176910658,-0.09015330456425079,0.37912262983002676
0.34943701157669177,0.1584701995988041,0.5200221914697332,-0.17009886284181835,0.9446044509488596,-0.0022715989254439846,0.28068424955071086
0.3246110749372495,0.20208532002514037,0.4765498430475825,-0.1014710174006291,0.9799692751587167,0.045603795177702626,0.16517913378502427
0.3003377524285844,0.22995793763528366,0.44705223134360383,-0.048026999679471744,0.9943969053772019,0.05494234897418045,0.07648228662397259
0.28304330450957693,0.2453318007816266,0.4297345069318994,-0.013758428431926152,0.9984208705541932,0.04995595829019842,0.021699611060994932
0.27590704720813847,0.25088508111112867,0.42321074891037314,-0.0002497490716884344,0.9989491881757958,0.04582504028844317,0.0007230151328618995
0.275799033783916,0.2509660098484324,0.4231144091221044,-4.77069161869318e-05,0.9989526378113615,0.04575429139228529,0.0004122535178737303
